Sample Time,sensors 1 Lane 1,sensors 1 Lane 2,sensors 1 Lane 3,sensors 1 Lane 4,sensors 1 Lane 5,sensors 2 Lane 1,sensors 2 Lane 2,sensors 2 Lane 3,sensors 2 Lane 4,sensors 2 Lane 5,sensors 3 Lane 1,sensors 3 Lane 2,sensors 3 Lane 3,sensors 3 Lane 4,sensors 3 Lane 5,sensors 4 Lane 1,sensors 4 Lane 2,sensors 4 Lane 3,sensors 4 Lane 4,sensors 4 Lane 5,sensors 5 Lane 1,sensors 5 Lane 2,sensors 5 Lane 3,sensors 5 Lane 4,sensors 5 Lane 5,sensors 6 Lane 1,sensors 6 Lane 2,sensors 6 Lane 3,sensors 6 Lane 4,sensors 6 Lane 5.1,sensors 7 Lane 1,sensors 7 Lane 2,sensors 7 Lane 3,sensors 7 Lane 4,sensors 7 Lane 5,sensors 8 Lane 1,sensors 8 Lane 2,sensors 8 Lane 3,sensors 8 Lane 4,sensors 8 Lane 5
2/5/2017 0:50,58.5,68.3,69.3,65.2,56.9,57.3,58.5,54.3,44.1,48.5,76.1,61.9,62.7,66.1,51,52.2,58.6,49.8,66.1,56.675,52.8,61.64,62.54,58.84,51.35,51.71,52.8,49.01,39.8,43.77,68.68,55.86,56.59,59.66,46.03,47.11,52.89,44.94,59.66,51.15
2/5/2017 0:55,68,57.9,66.2,52.6,56.8,61.5,57.4,52.4,39.2,43.4,79.9,66.5,60.3,64.8,50.4,62.2,53.3,46.4,62.8,56.175,61.37,52.25,59.75,47.47,51.26,55.5,51.8,47.29,35.38,39.17,72.11,60.02,54.42,58.48,45.49,56.14,48.1,41.88,56.68,50.7
2/5/2017 1:00,69.22,65.1,65.8,63.2,58.6,68.1,59.6,51.5,41.3,50,74.3,67.8,66,68.1,62,59.2,57.2,49.6,67.4,58.35,62.47,58.75,59.38,57.04,52.89,61.46,53.79,46.48,37.27,45.13,67.06,61.19,59.57,61.46,55.96,53.43,51.62,44.76,60.83,52.66
2/5/2017 1:05,69.3,67.9,64.3,65.1,56,63.7,55,53.1,43.6,56.7,75.4,69.4,60.6,62.2,54.7,57.5,57.3,46.8,65.56,56.79,62.54,61.28,58.03,58.75,50.54,57.49,49.64,47.92,39.35,51.17,68.05,62.63,54.69,56.14,49.37,51.89,51.71,42.24,59.17,51.25
2/5/2017 1:10,69,63.5,66.6,63.8,54.3,60.4,60.2,53.6,46.6,44.1,75.4,65.7,65.4,61.2,50.3,63.6,54.6,44.1,61.4,55.925,62.27,57.31,60.11,57.58,49.01,54.51,54.33,48.37,42.06,39.8,68.05,59.29,59.02,55.23,45.4,57.4,49.28,39.8,55.41,50.47
2/5/2017 1:15,64.4,63.9,62.4,61.2,56,64.7,57.3,51.1,43.6,44.9,73.8,65.89,60.6,66.3,55.8,59.8,50.8,49.5,59.2,54.825,58.12,57.67,56.32,55.23,50.54,58.39,51.71,46.12,39.35,40.52,66.6,59.47,54.69,59.84,50.36,53.97,45.85,44.67,53.43,49.48
2/5/2017 1:20,67.5,58.78,63.8,56.6,59.3,66.2,57.8,50.1,40.2,50.8,76.22,67.6,64.9,60.6,57.4,67.44,60,49.9,64.8,60.535,60.92,53.05,57.58,51.08,53.52,59.75,52.16,45.22,36.28,45.85,68.79,61.01,58.57,54.69,51.8,60.86,54.15,45.03,58.48,54.63
2/5/2017 1:25,68.2,59.7,60.4,56.2,52.3,61.6,52.3,45.8,39,39.9,71.2,61.1,56.2,58.4,48.1,58,49.4,43.4,57.5,52.075,61.55,53.88,54.51,50.72,47.2,55.59,47.2,41.33,35.2,36.01,64.26,55.14,50.72,52.71,43.41,52.35,44.58,39.17,51.89,47
2/5/2017 1:30,66.2,65.4,67.2,66.3,54.1,65.1,54.8,54.1,45.7,47.1,73.8,66.6,62.4,67.6,54.8,60.3,54.6,54.2,68.2,59.325,59.75,59.02,60.65,59.84,48.83,58.75,49.46,48.83,41.24,42.51,66.6,60.11,56.32,61.01,49.46,54.42,49.28,48.92,61.55,53.54
2/5/2017 1:35,60.88,65.9,57,64,45.9,61.2,56.8,56.8,45.3,39.1,78.5,65.9,63.7,68,50.3,58,52.4,50,68.3,57.175,54.94,59.47,51.44,57.76,41.42,55.23,51.26,51.26,40.88,35.29,70.85,59.47,57.49,61.37,45.4,52.35,47.29,45.13,61.64,51.6
2/5/2017 1:40,60.88,61.7,63.5,62.8,51.7,54,54,47.7,36.6,51.2,64.2,69.3,53.4,65.3,50.1,53.33,54.3,44.4,55.9,51.9825,54.94,55.68,57.31,56.68,46.66,48.74,48.74,43.05,33.03,46.21,57.94,62.54,48.19,58.93,45.22,48.13,49.01,40.07,50.45,46.91
2/5/2017 1:45,56.71,68.3,68,60.6,56.9,53.1,58.4,51.5,39.6,44.5,68.7,67.6,60.9,70.4,57.2,61.6,50.4,52.6,68,58.15,51.18,61.64,61.37,54.69,51.35,47.92,52.71,46.48,35.74,40.16,62,61.01,54.96,63.54,51.62,55.59,45.49,47.47,61.37,52.48
2/5/2017 1:50,69.5,63.6,59.6,66.6,59.8,64.1,53.8,54.4,45.7,49.8,75.7,65.2,57.5,66.7,56.5,55.5,50.8,47.3,63.9,54.375,62.72,57.4,53.79,60.11,53.97,57.85,48.55,49.1,41.24,44.94,68.32,58.84,51.89,60.2,50.99,50.09,45.85,42.69,57.67,49.07
2/5/2017 1:55,66.5,65.5,66.1,60.9,59,56.56,54.3,47,42,49.3,76,67,53,67.4,58.2,56.67,54.5,42.6,62,53.9425,60.02,59.11,59.66,54.96,53.25,51.05,49.01,42.42,37.91,44.49,68.59,60.47,47.83,60.83,52.53,51.14,49.19,38.45,55.96,48.68
2/5/2017 2:00,71.4,67,67.6,63.4,56.6,62.5,53.2,54,41.2,53.78,67.44,67,66.1,70,59.56,61.9,55.3,51.2,68.1,59.125,64.44,60.47,61.01,57.22,51.08,56.41,48.01,48.74,37.18,48.54,60.86,60.47,59.66,63.18,53.75,55.86,49.91,46.21,61.46,53.36
2/5/2017 2:05,70.7,64.1,56.5,68.3,56.2,62.8,55.6,49.8,40.6,46.6,74.8,69.4,58,68,56.5,59.1,56.1,45.4,66.4,56.75,63.81,57.85,50.99,61.64,50.72,56.68,50.18,44.94,36.64,42.06,67.51,62.63,52.35,61.37,50.99,53.34,50.63,40.97,59.93,51.22
2/5/2017 2:10,66.89,65.4,69.6,59.4,56.6,61.5,56.9,52.5,43.8,50.67,69.8,68.9,60.8,71.3,55,60.2,56.6,49.1,50.6,54.125,60.37,59.02,62.81,53.61,51.08,55.5,51.35,47.38,39.53,45.73,62.99,62.18,54.87,64.35,49.64,54.33,51.08,44.31,45.67,48.85
2/5/2017 2:15,61,62.9,65.5,61.6,59.1,61.6,58.5,49.4,41.8,55.5,77.2,66.7,61.1,61.1,60.5,60.3,57.5,48.7,58.2,56.175,55.05,56.77,59.11,55.59,53.34,55.59,52.8,44.58,37.72,50.09,69.67,60.2,55.14,55.14,54.6,54.42,51.89,43.95,52.53,50.7
2/5/2017 2:20,70,57.7,66.1,56.4,52.33,59.8,56,54.8,40,49.11,72.2,64.5,64,62,52.2,58.9,53.2,46,64.1,55.55,63.18,52.07,59.66,50.9,47.23,53.97,50.54,49.46,36.1,44.32,65.16,58.21,57.76,55.96,47.11,53.16,48.01,41.52,57.85,50.13
2/5/2017 2:25,66.7,65.3,59.3,59.8,56.3,57.9,54.9,45.7,38,51.2,76.8,66.6,60,63,55.6,61.9,53.7,45.3,61.5,55.6,60.2,58.93,53.52,53.97,50.81,52.25,49.55,41.24,34.3,46.21,69.31,60.11,54.15,56.86,50.18,55.86,48.46,40.88,55.5,50.18
2/5/2017 2:30,70.5,64.9,57.8,65.7,56.89,61.5,51.5,47.3,43,48.6,77.9,66.2,61.3,65.2,59.3,64.9,50.7,43.8,67.3,56.675,63.63,58.57,52.16,59.29,51.34,55.5,46.48,42.69,38.81,43.86,70.3,59.75,55.32,58.84,53.52,58.57,45.76,39.53,60.74,51.15
2/5/2017 2:35,70.9,63.1,68.5,62.4,58.1,64.8,55,48.4,43.6,44.75,83.2,66.6,57.4,63.4,59.1,57.1,54.6,48.8,62.89,55.8475,63.99,56.95,61.82,56.32,52.44,58.48,49.64,43.68,39.35,40.39,75.09,60.11,51.8,57.22,53.34,51.53,49.28,44.04,56.76,50.4
2/5/2017 2:40,64.3,67.2,55.6,61.3,58.7,62.6,56.9,49,42.8,53.78,79.2,64.8,58.2,65.3,62.5,60.5,48.2,43.9,59.6,53.05,58.03,60.65,50.18,55.32,52.98,56.5,51.35,44.22,38.63,48.54,71.48,58.48,52.53,58.93,56.41,54.6,43.5,39.62,53.79,47.88
2/5/2017 2:45,63.44,66.4,66,66.6,55.1,59.4,60.9,58.9,42.6,44,78.6,66,58.8,68.1,50.7,58.1,55.4,48.9,68,57.6,57.25,59.93,59.57,60.11,49.73,53.61,54.96,53.16,38.45,39.71,70.94,59.57,53.07,61.46,45.76,52.44,50,44.13,61.37,51.98
2/5/2017 2:50,67.6,66.8,72,61.9,65.5,62.44,63,54.1,44.1,46.22,79,68.2,65.8,72.3,56.22,58.3,59.7,53.7,65.3,59.25,61.01,60.29,64.98,55.86,59.11,56.35,56.86,48.83,39.8,41.71,71.3,61.55,59.38,65.25,50.74,52.62,53.88,48.46,58.93,53.47
2/5/2017 2:55,69.2,70.7,65.5,64.5,60.67,59,59,51.8,39,48.75,81.8,70.7,59.7,56.9,62.13,62,58.2,51.6,69.89,60.4225,62.45,63.81,59.11,58.21,54.75,53.25,53.25,46.75,35.2,44,73.82,63.81,53.88,51.35,56.07,55.96,52.53,46.57,63.08,54.53
2/5/2017 3:00,67,66.5,64.8,56.4,54.5,57.5,54.6,55.9,43.3,43.22,75,69.2,62.6,65.4,51.11,59.9,57.1,47.6,66,57.65,60.47,60.02,58.48,50.9,49.19,51.89,49.28,50.45,39.08,39.01,67.69,62.45,56.5,59.02,46.13,54.06,51.53,42.96,59.57,52.03
2/5/2017 3:05,64.3,59.1,66.2,53.6,62.2,62.8,62.3,47.1,40.2,45.5,75.2,68.4,66.9,55.67,58.5,60,57.2,51.7,60.9,57.45,58.03,53.34,59.75,48.37,56.14,56.68,56.23,42.51,36.28,41.06,67.87,61.73,60.38,50.24,52.8,54.15,51.62,46.66,54.96,51.85
2/5/2017 3:10,65.8,66.6,65.89,60.2,60.6,58.1,59.9,57.5,43.2,48.8,77.4,71.3,57.9,43.4,59,61.4,51.2,45,62.3,54.975,59.38,60.11,59.47,54.33,54.69,52.44,54.06,51.89,38.99,44.04,69.85,64.35,52.25,39.17,53.25,55.41,46.21,40.61,56.23,49.61
2/5/2017 3:15,70.6,65.1,68.6,62.9,57.5,61.56,60,46.7,47.1,44.75,80.11,68.33,62.5,67.7,60.78,62.6,57.9,48.6,73.7,60.7,63.72,58.75,61.91,56.77,51.89,55.56,54.15,42.15,42.51,40.39,72.3,61.67,56.41,61.1,54.85,56.5,52.25,43.86,66.51,54.78
2/5/2017 3:20,69,68.6,59.3,64.3,59.1,69.5,56.2,55.4,51.2,51,80.8,69.9,68,67.2,57.25,67.9,53.4,52.1,67.67,60.2675,62.27,61.91,53.52,58.03,53.34,62.72,50.72,50,46.21,46.03,72.92,63.08,61.37,60.65,51.67,61.28,48.19,47.02,61.07,54.39
2/5/2017 3:25,71.22,67.4,58.9,64.22,46.29,61.78,54.3,49.3,41.9,51,82.6,73.4,63.5,71,61.43,64.78,54.1,54.9,64.67,59.6125,64.28,60.83,53.16,57.96,41.78,55.76,49.01,44.49,37.81,46.03,74.55,66.24,57.31,64.08,55.44,58.46,48.83,49.55,58.36,53.8
2/5/2017 3:30,73,65.33,68.78,76.78,41.44,69.8,59.7,50.8,38.2,39.67,79.3,71.8,64.8,64.6,51.14,66.3,57.1,53.1,69.4,61.475,65.88,58.96,62.07,69.29,37.4,62.99,53.88,45.85,34.48,35.8,71.57,64.8,58.48,58.3,46.15,59.84,51.53,47.92,62.63,55.48
2/5/2017 3:35,68.9,63.2,67.9,69.78,53.67,62.6,62.8,53.5,53.78,43.2,80.4,69.6,65.9,67.2,51.5,62.3,57.2,55.9,62.7,59.525,62.18,57.04,61.28,62.98,48.44,56.5,56.68,48.28,48.54,38.99,72.56,62.81,59.47,60.65,46.48,56.23,51.62,50.45,56.59,53.72
2/5/2017 3:40,70.11,65.75,58.5,67.4,54.89,66.33,58.6,48.4,45.4,50.5,75.56,70.3,56.6,70.4,50.63,58.8,55,48.8,61.44,56.01,63.27,59.34,52.8,60.83,49.54,59.86,52.89,43.68,40.97,45.58,68.19,63.45,51.08,63.54,45.69,53.07,49.64,44.04,55.45,50.55
2/5/2017 3:45,71.3,60.7,62.2,61.3,50.89,70.88,58.9,56.1,40.89,45.5,78.78,68.9,58.6,66.67,66,71.25,50.5,49.8,69.44,60.2475,64.35,54.78,56.14,55.32,45.93,63.97,53.16,50.63,36.9,41.06,71.1,62.18,52.89,60.17,59.57,64.3,45.58,44.94,62.67,54.37
2/5/2017 3:50,75.22,70.2,65,59.3,51.33,65.67,58.4,43.8,41.2,33.5,86.5,69.9,62.44,57.5,49.43,65,59.6,51,67.5,60.775,67.89,63.36,58.66,53.52,46.33,59.27,52.71,39.53,37.18,30.23,78.07,63.08,56.35,51.89,44.61,58.66,53.79,46.03,60.92,54.85
2/5/2017 3:55,73.71,71.8,64.9,54.9,56.2,66.6,57.7,50.9,43.2,44.88,82.9,60.3,59.7,60.2,52.86,64.89,56.3,53,53.5,56.9225,66.52,64.8,58.57,49.55,50.72,60.11,52.07,45.94,38.99,40.5,74.82,54.42,53.88,54.33,47.71,58.56,50.81,47.83,48.28,51.37
2/5/2017 4:00,77.5,69,61.25,57.6,46.6,61.8,60.2,40.6,34.5,43.86,78.75,68.7,63.33,54.7,59,60.5,63.3,60.2,63.8,61.95,69.94,62.27,55.28,51.98,42.06,55.77,54.33,36.64,31.14,39.58,71.07,62,57.16,49.37,53.25,54.6,57.13,54.33,57.58,55.91
2/5/2017 4:05,74.67,69.2,60.89,56.38,51.5,71.33,56.2,51.1,37.5,47.83,75.44,70.3,62.8,65.22,42.33,67.5,54.9,46.8,65.22,58.605,67.39,62.45,54.95,50.88,46.48,64.38,50.72,46.12,33.84,43.17,68.08,63.45,56.68,58.86,38.2,60.92,49.55,42.24,58.86,52.89
2/5/2017 4:10,71.89,66.8,70.1,60.5,66.56,81.89,55.2,49.9,44,54,86.75,72.1,66.8,67,60,75,57.1,52.6,70.11,63.7025,64.88,60.29,63.27,54.6,60.07,73.91,49.82,45.03,39.71,48.74,78.29,65.07,60.29,60.47,54.15,67.69,51.53,47.47,63.27,57.49
2/5/2017 4:15,68.88,63.89,59.8,52.75,66.4,66.67,57.6,58.3,37.11,54.5,84.56,64,58.11,55,56.2,67.33,53.9,49.11,66.11,59.1125,62.16,57.66,53.97,47.61,59.93,60.17,51.98,52.62,33.49,49.19,76.32,57.76,52.44,49.64,50.72,60.77,48.64,44.32,59.66,53.35
2/5/2017 4:20,71.63,68.1,69.6,73,55.5,63.33,55.6,51.5,51,48.7,82.22,68.5,57.2,66.11,55.5,68.5,48.6,48.8,59.67,56.3925,64.65,61.46,62.81,65.88,50.09,57.16,50.18,46.48,46.03,43.95,74.2,61.82,51.62,59.66,50.09,61.82,43.86,44.04,53.85,50.89
2/5/2017 4:25,68.63,60.9,51.2,57.8,56,68.56,51.9,53.2,42.7,48,77,67.3,55,70.2,59,71.78,56.3,47.2,72,61.82,61.94,54.96,46.21,52.16,50.54,61.88,46.84,48.01,38.54,43.32,69.49,60.74,49.64,63.36,53.25,64.78,50.81,42.6,64.98,55.79
2/5/2017 4:30,74.2,72.9,62.5,69.57,56.33,80.57,63.67,49.3,39,38.43,81.8,67.75,60.1,60.4,51.88,75.38,56.89,49,56.5,59.4425,66.97,65.79,56.41,62.79,50.84,72.71,57.46,44.49,35.2,34.68,73.82,61.14,54.24,54.51,46.82,68.03,51.34,44.22,50.99,53.65
2/5/2017 4:35,71.14,43,60.8,61,47,80.38,61,60.3,42.6,55.22,76.4,62.8,65.1,67.7,53.22,72.67,47.2,51.1,72.3,60.8175,64.2,38.81,54.87,55.05,42.42,72.54,55.05,54.42,38.45,49.84,68.95,56.68,58.75,61.1,48.03,65.58,42.6,46.12,65.25,54.89
2/5/2017 4:40,77,70,63.1,59.11,47.4,73.38,60.9,49.11,43,49.8,81.78,68.6,57.9,66.8,54.6,64.43,53.3,45.1,39.13,50.49,69.49,63.18,56.95,53.35,42.78,66.23,54.96,44.32,38.81,44.94,73.81,61.91,52.25,60.29,49.28,58.15,48.1,40.7,35.31,45.57
2/5/2017 4:45,77,63.5,66.3,60.9,56.33,66,56,51.1,47,51.33,73.33,68,55.6,71.2,64,77.5,58.2,53.5,64.6,63.45,69.49,57.31,59.84,54.96,50.84,59.57,50.54,46.12,42.42,46.33,66.18,61.37,50.18,64.26,57.76,69.94,52.53,48.28,58.3,57.26
2/5/2017 4:50,77,67.67,63.2,59.1,50.57,68,53.56,57,46.1,42.13,83.33,69.56,59.7,66.5,48.57,68.57,58,54.2,64.63,61.35,69.49,61.07,57.04,53.34,45.64,61.37,48.34,51.44,41.61,38.02,75.21,62.78,53.88,60.02,43.83,61.88,52.35,48.92,58.33,55.37
2/5/2017 4:55,43.67,69.8,64,51.2,55.8,70.11,56.1,44.3,37.22,44.88,74.63,70.9,54,56.6,58.83,81.88,54.2,39.3,64.8,60.045,39.41,62.99,57.76,46.21,50.36,63.27,50.63,39.98,33.59,40.5,67.35,63.99,48.74,51.08,53.09,73.9,48.92,35.47,58.48,54.19
2/5/2017 5:00,67.67,59.7,55.3,54.3,61.7,69.33,53.2,45.9,39.4,54.89,75.57,65.33,57.8,61,57.25,62.29,55.2,46.6,60.8,56.2225,61.07,53.88,49.91,49.01,55.68,62.57,48.01,41.42,35.56,49.54,68.2,58.96,52.16,55.05,51.67,56.22,49.82,42.06,54.87,50.74
2/5/2017 5:05,67.43,59.7,55.78,49.9,63.38,73.78,45.7,47.3,34.6,45.71,79.63,62,54.4,59.2,47.13,67.75,47.7,42.2,58.4,54.0125,60.86,53.88,50.34,45.03,57.2,66.59,41.24,42.69,31.23,41.25,71.87,55.96,49.1,53.43,42.53,61.14,43.05,38.09,52.71,48.75
2/5/2017 5:10,69.43,59.7,69.1,56.6,58.2,71.89,54,50,43.5,41.5,82,62.1,48.2,71.6,60,53.43,48.8,42.1,65.56,52.4725,62.66,53.88,62.36,51.08,52.53,64.88,48.74,45.13,39.26,37.45,74.01,56.05,43.5,64.62,54.15,48.22,44.04,38,59.17,47.36
2/5/2017 5:15,67.43,62,60,54.8,67.4,70.33,58.5,49.9,38.78,54.11,85.11,64.3,62.1,63.2,60.67,64.5,53.6,44.4,71.4,58.475,60.86,55.96,54.15,49.46,60.83,63.47,52.8,45.03,35,48.83,76.81,58.03,56.05,57.04,54.75,58.21,48.37,40.07,64.44,52.77
2/5/2017 5:20,76.13,67,56,58.78,56.1,65.67,49.7,48.4,41.1,44.63,80.5,62.1,49.44,68.67,52.14,64.6,48.4,38.8,61.89,53.4225,68.71,60.47,50.54,53.05,50.63,59.27,44.85,43.68,37.09,40.28,72.65,56.05,44.62,61.97,47.06,58.3,43.68,35.02,55.86,48.21
2/5/2017 5:25,65.8,64.8,59.1,60.9,62.44,71.8,51.4,43,39.9,40.13,84.5,55.78,56.6,61.3,70.6,66.14,49.89,44,65.67,56.425,59.38,58.48,53.34,54.96,56.35,64.8,46.39,38.81,36.01,36.22,76.26,50.34,51.08,55.32,63.72,59.69,45.03,39.71,59.27,50.92
2/5/2017 5:30,69.63,65.4,55.7,65.2,50.44,59.89,58,45.1,39.7,46.5,78.38,64.7,61.7,64.6,64.33,68.75,50.3,46,68.78,58.4575,62.84,59.02,50.27,58.84,45.52,54.05,52.35,40.7,35.83,41.97,70.74,58.39,55.68,58.3,58.06,62.05,45.4,41.52,62.07,52.76
2/5/2017 5:35,67.67,58.7,52.2,58.1,54,64.6,54.7,41.3,38.4,45,72.5,67,51.6,62,48.83,56.56,53.2,43,62,53.69,61.07,52.98,47.11,52.44,48.74,58.3,49.37,37.27,34.66,40.61,65.43,60.47,46.57,55.96,44.07,51.05,48.01,38.81,55.96,48.46
2/5/2017 5:40,69,63,69.9,48.9,56.44,69,63.5,43.2,29.3,36.88,80.38,68.7,52.1,37.5,50.14,65.2,54.8,43.6,62.63,56.5575,62.27,56.86,63.08,44.13,50.94,62.27,57.31,38.99,26.44,33.28,72.54,62,47.02,33.84,45.25,58.84,49.46,39.35,56.52,51.04
2/5/2017 5:45,74.75,65.5,63.1,62.7,57.5,70.1,54.3,51.4,42,45.25,74.6,68,61.5,75.7,49.7,70.3,59.4,45,58,58.175,67.46,59.11,56.95,56.59,51.89,63.27,49.01,46.39,37.91,40.84,67.33,61.37,55.5,68.32,44.85,63.45,53.61,40.61,52.35,52.5
2/5/2017 5:50,69.7,64.7,58.2,58,52.4,59.4,52.5,50.5,44.7,50.8,81.9,65.5,55.9,71.4,51.22,62.9,60.3,46.7,71.2,60.275,62.9,58.39,52.53,52.35,47.29,53.61,47.38,45.58,40.34,45.85,73.91,59.11,50.45,64.44,46.23,56.77,54.42,42.15,64.26,54.4
2/5/2017 5:55,69,69.9,64.78,55,47.9,62.7,64,53.1,37.7,33.88,84,64.7,52.7,57,46.56,67.44,50.2,46.3,54.5,54.61,62.27,63.08,58.46,49.64,43.23,56.59,57.76,47.92,34.02,30.58,75.81,58.39,47.56,51.44,42.02,60.86,45.31,41.79,49.19,49.29
2/5/2017 6:00,71,67.78,65.8,62.5,57.4,62.4,57.4,59.1,47,45.78,80,66.3,62,67.9,57.78,71.1,57.2,53.6,69,62.725,64.08,61.17,59.38,56.41,51.8,56.32,51.8,53.34,42.42,41.32,72.2,59.84,55.96,61.28,52.15,64.17,51.62,48.37,62.27,56.61
2/5/2017 6:05,70.5,63.56,61.2,51.6,50.22,58.9,54.7,39.9,36.8,39.22,78.6,67.4,59.9,62.5,50.78,58.44,46.4,48.5,62.11,53.8625,63.63,57.36,55.23,46.57,45.32,53.16,49.37,36.01,33.21,35.4,70.94,60.83,54.06,56.41,45.83,52.74,41.88,43.77,56.05,48.61
2/5/2017 6:10,68.7,65.7,57,52.4,49.6,63.6,53.2,45,32.4,43,77.33,67.4,51.1,55.6,48.88,64,56.3,39.7,40.44,50.11,62,59.29,51.44,47.29,44.76,57.4,48.01,40.61,29.24,38.81,69.79,60.83,46.12,50.18,44.11,57.76,50.81,35.83,36.5,45.22
2/5/2017 6:15,72.2,68.1,57.2,57.5,64.3,66.7,52.7,45.2,38.6,45,79.5,67.8,44.2,70.6,56.9,58.11,56.6,41.3,69.8,56.4525,65.16,61.46,51.62,51.89,58.03,60.2,47.56,40.79,34.84,40.61,71.75,61.19,39.89,63.72,51.35,52.44,51.08,37.27,62.99,50.95
2/5/2017 6:20,69.56,66.6,71.6,60.3,61.33,64.9,60.3,56.3,45.3,48.71,78.5,66.3,64.1,65.3,56.22,70.3,53.4,49.1,65,59.45,62.78,60.11,64.62,54.42,55.35,58.57,54.42,50.81,40.88,43.96,70.85,59.84,57.85,58.93,50.74,63.45,48.19,44.31,58.66,53.65
2/5/2017 6:25,66.8,65.8,66.1,59.3,54.7,60.9,55.2,46.2,43,51.2,79.3,65.9,55.3,69.5,53.75,63.3,57.4,46,70.33,59.2575,60.29,59.38,59.66,53.52,49.37,54.96,49.82,41.7,38.81,46.21,71.57,59.47,49.91,62.72,48.51,57.13,51.8,41.52,63.47,53.48
